0,0,Best actions:
1,0.00203162,Best actions: 1
2,0.00507904,Best actions: 1 2
3,0.00922512,Best actions: 3
4,0.0128877,Best actions: 1 2 3 4
5,0.0173668,Best actions: 1 2 5
6,0.0230628,Best actions: 6
7,0.0278107,Best actions: 6 7
8,0.0322604,Best actions: 1 5 8
9,0.0376538,Best actions: 1 2 3 9
10,0.0434552,Best actions: 1 3 9 10
11,0.0503261,Best actions: 11
12,0.057657,Best actions: 12
13,0.065219,Best actions: 12 13
14,0.0695351,Best actions: 1 11 14
15,0.0744201,Best actions: 1 2 10 15
16,0.0806864,Best actions: 3 9 16
17,0.0865923,Best actions: 1 2 8 17
18,0.0941956,Best actions: 1 7 18
19,0.103131,Best actions: 6 19
20,0.108652,Best actions: 1 5 20
21,0.115955,Best actions: 1 2 4 21
22,0.125879,Best actions: 3 22
23,0.133573,Best actions: 1 2 23
24,0.144144,Best actions: 1 24
25,0.16,Best actions: 25
26,0.163047,Best actions: 1 24 25 26
27,0.167733,Best actions: 1 2 23 24 26 27
28,0.173838,Best actions: 3 22 28
29,0.179356,Best actions: 1 2 3 4 21 29
30,0.186073,Best actions: 1 5 20 30
31,0.194594,Best actions: 6 19 31
32,0.201721,Best actions: 6 7 18 32
33,0.208412,Best actions: 1 5 8 17 33
34,0.216517,Best actions: 9 16 34
35,0.225191,Best actions: 10 15 35
36,0.235527,Best actions: 11 14 36
37,0.246486,Best actions: 12 13 37
38,0.257828,Best actions: 12 13 37 38
39,0.264303,Best actions: 1 11 39
40,0.271644,Best actions: 1 2 10 40
41,0.281033,Best actions: 3 9 41
42,0.28991,Best actions: 1 8 42
43,0.301316,Best actions: 7 43
44,0.314697,Best actions: 6 44
45,0.322986,Best actions: 1 5 45
46,0.333946,Best actions: 1 2 4 46
47,0.348818,Best actions: 3 47
48,0.360368,Best actions: 1 2 48
49,0.376221,Best actions: 1 49
50,0.4,Best actions: 50
51,0.403047,Best actions: 1 49
52,0.407733,Best actions: 1 2 48
53,0.413838,Best actions: 3 47
54,0.419356,Best actions: 1 2 3 4 46
55,0.426073,Best actions: 1 5 45
56,0.434594,Best actions: 6 44
57,0.441721,Best actions: 6 7 43
58,0.448412,Best actions: 1 5 8 42
59,0.456517,Best actions: 9 41
60,0.465191,Best actions: 10 40
61,0.475527,Best actions: 11 39
62,0.486486,Best actions: 12 38
63,0.497828,Best actions: 12 13 37
64,0.504303,Best actions: 1 11 14 36
65,0.511644,Best actions: 1 2 10 15 35
66,0.521033,Best actions: 3 9 16 34
67,0.52991,Best actions: 1 8 17 33
68,0.541316,Best actions: 7 18 32
69,0.554697,Best actions: 6 19 31
70,0.562986,Best actions: 1 5 20 30
71,0.573946,Best actions: 1 2 4 21 29
72,0.588818,Best actions: 3 22 28
73,0.600368,Best actions: 1 2 23 27
74,0.616221,Best actions: 1 24 26
75,0.64,Best actions: 25
76,0.64464,Best actions: 1 24
77,0.651614,Best actions: 1 2 23
78,0.660757,Best actions: 3 22
79,0.669047,Best actions: 1 4 21
80,0.679115,Best actions: 1 5 20
81,0.691892,Best actions: 6 19
82,0.702582,Best actions: 7 18
83,0.71262,Best actions: 8 17
84,0.72479,Best actions: 9 16
85,0.737792,Best actions: 10 15
86,0.753291,Best actions: 11 14
87,0.769732,Best actions: 12 13
88,0.786784,Best actions: 12
89,0.796454,Best actions: 11
90,0.807469,Best actions: 1 10
91,0.821549,Best actions: 3 9
92,0.834874,Best actions: 8
93,0.851975,Best actions: 7
94,0.87207,Best actions: 6
95,0.884481,Best actions: 1 5
96,0.900924,Best actions: 1 4
97,0.923242,Best actions: 3
98,0.940555,Best actions: 1 2
99,0.964333,Best actions: 1
100,1,Best actions:
